Date,Type,Name,Price,Qty,Profit,Reason
2024-08-28,Buy,한국카본,12151.663584162323,160,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2024-08-29,Buy,레버리지,18140.418713806695,106,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2024-08-29,Buy,한중엔시에스,43413.74944591317,44,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2024-08-29,Sell,한국카본,11686.58,160,-3.827324390122865,추세이탈(SMA20)_매도
2024-09-02,Buy,인버스2X,2088.1895136751887,934,0.0,"스마트_돌파(k=0.65,Vol_OK)"
2024-09-03,Sell,레버리지,17829.27,106,-1.7152234395222603,추세이탈(SMA20)_매도
2024-09-03,Sell,한중엔시에스,42814.2,44,-1.3810128209730406,추세이탈(SMA20)_매도
2024-09-05,Buy,한중엔시에스,44827.49084777481,43,0.0,"스마트_돌파(k=0.46,Vol_OK)"
2024-09-09,Sell,인버스2X,2305.38,934,10.400899195330158,RSI초과열(85)_익절
2024-09-09,Sell,한중엔시에스,43263.3,43,-3.4893562369718323,추세이탈(SMA20)_매도
2024-09-10,Buy,한중엔시에스,44950.33992881027,43,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2024-09-11,Buy,인버스2X,2400.6455739209987,816,0.0,"스마트_돌파(k=0.64,Vol_OK)"
2024-09-20,Buy,한국카본,11530.696959940225,168,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2024-09-23,Sell,한국카본,11167.62,168,-3.148785899079832,추세이탈(SMA20)_매도
2024-09-25,Buy,한국카본,11428.218558166302,169,0.0,"스마트_돌파(k=0.53,Vol_OK)"
2024-09-26,Sell,인버스2X,2100.79,816,-12.490622405007565,추세이탈(SMA20)_매도
2024-09-26,Buy,레버리지,17276.805726365303,111,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2024-09-27,Sell,한국카본,10898.16,169,-4.638155592391397,추세이탈(SMA20)_매도
2024-09-30,Buy,인버스2X,2175.8111558180635,861,0.0,"스마트_돌파(k=0.57,Vol_OK)"
2024-09-30,Sell,레버리지,16541.85,111,-4.25400237755596,추세이탈(SMA20)_매도
2024-10-07,Sell,인버스2X,2205.58,861,1.368172237849561,추세이탈(SMA20)_매도
2024-10-07,Buy,레버리지,16678.374906328583,113,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2024-10-08,Buy,한국카본,11097.146854437851,168,0.0,"스마트_돌파(k=0.60,Vol_OK)"
2024-10-16,Sell,한중엔시에스,45409.0,43,1.0203706399465113,추세이탈(SMA20)_매도
2024-10-18,Buy,인버스2X,2226.7075647979796,829,0.0,"스마트_돌파(k=0.57,Vol_OK)"
2024-10-18,Sell,한국카본,10778.4,168,-2.8723315877394366,추세이탈(SMA20)_매도
2024-10-21,Buy,한국카본,11108.031259351545,166,0.0,"스마트_돌파(k=0.58,Vol_OK)"
2024-10-22,Sell,레버리지,16152.63,113,-3.1522549965529967,추세이탈(SMA20)_매도
2024-10-22,Sell,한국카본,10828.3,166,-2.518279367606634,추세이탈(SMA20)_매도
2024-10-23,Buy,레버리지,16563.3501522946,110,0.0,"스마트_돌파(k=0.52,Vol_OK)"
