Date,Open,High,Low,Close,Volume,Change
2024-01-22,383500,387000,371500,372000,214410,-0.029986962190352018
2024-01-23,370500,379000,370500,373500,170955,0.0040322580645162365
2024-01-24,372500,385000,370500,380500,218985,0.018741633199464536
2024-01-25,375000,375500,363000,368000,317036,-0.03285151116951379
2024-01-26,364000,392000,362000,381000,331129,0.03532608695652173
2024-01-29,385000,387000,377500,377500,216167,-0.009186351706036766
2024-01-30,382500,387500,373000,375000,222999,-0.0066225165562914245
2024-01-31,379000,387500,377000,381000,212973,0.016000000000000014
2024-02-01,378000,383000,373000,381500,232165,0.001312335958005173
2024-02-02,384500,392500,381500,387500,261741,0.01572739187418093
2024-02-05,389000,393000,385500,389000,210367,0.003870967741935516
2024-02-06,385000,387500,376000,377000,196337,-0.03084832904884316
2024-02-07,382000,394000,382000,386000,244380,0.023872679045092937
2024-02-08,397500,397500,386500,394000,314399,0.020725388601036343
2024-02-13,395000,395500,390000,393500,178139,-0.0012690355329949554
2024-02-14,390000,390000,380000,388000,184384,-0.013977128335451061
2024-02-15,393500,397500,389000,395500,192353,0.019329896907216426
2024-02-16,401500,412000,401000,410000,354959,0.036662452591656125
2024-02-19,412000,412500,395500,397500,289496,-0.030487804878048808
2024-02-20,397500,404500,392000,404000,157923,0.01635220125786163
2024-02-21,402500,408000,398000,407000,153418,0.007425742574257432
2024-02-22,410000,415500,405000,408500,177713,0.0036855036855036882
2024-02-23,411500,411500,402000,402000,146754,-0.01591187270501837
2024-02-26,402500,414000,402000,409500,142484,0.018656716417910557
2024-02-27,413500,417000,400500,403500,138018,-0.0146520146520146
2024-02-28,403500,408500,399500,400500,133998,-0.0074349442379182396
2024-02-29,399000,407000,394000,401500,355999,0.0024968789013732895
2024-03-04,401000,406000,398500,398500,170895,-0.007471980074719831
2024-03-05,396000,398500,387000,387500,240864,-0.027603513174404015
2024-03-06,386500,391000,386000,387000,118343,-0.001290322580645209
2024-03-07,391000,402000,387500,399500,199901,0.03229974160206717
2024-03-08,403500,406500,399500,402500,162446,0.007509386733416834
2024-03-11,402500,407000,399000,400500,104044,-0.004968944099378869
2024-03-12,404500,420000,404500,419500,381220,0.04744069912609228
2024-03-13,419500,422000,415000,418500,212299,-0.0023837902264600697
2024-03-14,416500,417000,405000,416000,306911,-0.005973715651135025
2024-03-15,407000,410000,398500,398500,247909,-0.04206730769230771
2024-03-18,402000,408500,401000,407500,134399,0.02258469259723972
2024-03-19,412000,412000,402000,403000,118968,-0.011042944785276121
2024-03-20,405000,410000,404000,407500,114805,0.011166253101736912
2024-03-21,409500,414000,409000,413500,154423,0.014723926380368013
2024-03-22,410500,415500,409000,413500,136480,0.0
2024-03-25,416500,417000,412000,414500,162037,0.002418379685610539
2024-03-26,417000,417500,405500,406000,198659,-0.020506634499396825
2024-03-27,406000,412500,404500,409000,138182,0.00738916256157629
2024-03-28,410000,411000,401000,401500,183993,-0.01833740831295838
2024-03-29,401500,402500,393000,395000,200531,-0.016189290161892855
2024-04-01,395000,398500,392500,395500,105333,0.0012658227848101333
2024-04-02,395500,400000,392500,393000,163860,-0.006321112515802807
2024-04-03,391500,391500,376000,376000,365852,-0.043256997455470736
2024-04-04,379500,384000,376000,379500,175633,0.009308510638297962
2024-04-05,375500,380000,373000,376000,152154,-0.00922266139657446
2024-04-08,374000,375500,358000,373000,307183,-0.007978723404255317
2024-04-09,376500,382500,372500,374000,180102,0.002680965147453085
2024-04-11,368500,380000,365000,380000,341170,0.016042780748663166
2024-04-12,380000,381500,371500,371500,172629,-0.022368421052631593
2024-04-15,367000,377000,365500,373000,106708,0.004037685060565233
2024-04-16,368000,372500,366000,366000,119203,-0.018766756032171594
2024-04-17,366000,372000,364000,364500,99287,-0.004098360655737654
2024-04-18,364000,378500,364000,377000,156443,0.03429355281207136
2024-04-19,372000,372000,364500,367000,143664,-0.02652519893899208
2024-04-22,373000,378500,369000,378500,144221,0.03133514986376018
2024-04-23,377000,379000,370000,370000,121904,-0.022457067371202122
2024-04-24,380500,389500,378000,385000,241390,0.04054054054054057
2024-04-25,380000,381000,372000,372500,176196,-0.03246753246753242
2024-04-26,373000,375000,367500,372000,143701,-0.0013422818791946067
2024-04-29,375000,378500,372000,378500,150391,0.017473118279569988
2024-04-30,382500,390000,382500,389000,276918,0.02774108322324964
2024-05-02,385000,392000,381000,389000,121266,0.0
2024-05-03,391000,394000,387000,391000,121565,0.005141388174807249
2024-05-07,394500,397000,390500,391500,117367,0.0012787723785165905
2024-05-08,391000,395000,387500,393000,144291,0.003831417624521105
2024-05-09,390000,393000,383000,388500,239286,-0.011450381679389277
2024-05-10,390500,390500,383500,383500,115093,-0.012870012870012881
2024-05-13,384000,384500,379000,381500,125868,-0.0052151238591916504
2024-05-14,382500,388000,382500,385500,119763,0.010484927916120546
2024-05-16,389000,390000,381500,381500,140797,-0.01037613488975353
2024-05-17,381500,384000,376000,376500,175717,-0.013106159895150737
2024-05-20,379000,379500,370000,372000,159484,-0.01195219123505975
2024-05-21,367500,370000,364000,364500,224181,-0.020161290322580627
2024-05-22,366500,369500,364000,364000,130152,-0.00137174211248281
2024-05-23,364000,366000,360000,362000,157841,-0.005494505494505475
2024-05-24,358500,359000,355500,356000,213011,-0.016574585635359074
2024-05-27,357000,366000,355500,364500,157232,0.023876404494381998
2024-05-28,363500,363500,359000,360000,136480,-0.012345679012345734
2024-05-29,356500,361000,342000,342000,386788,-0.050000000000000044
2024-05-30,342000,343500,326000,328000,401661,-0.040935672514619936
2024-05-31,331500,335500,328000,331000,264516,0.009146341463414531
2024-06-03,330500,341000,329500,332000,194056,0.0030211480362538623
2024-06-04,329500,340000,329000,336500,146087,0.013554216867469826
2024-06-05,339000,359500,338000,351500,395864,0.04457652303120363
2024-06-07,355000,360000,352500,359000,208870,0.021337126600284417
2024-06-10,355500,358500,350000,353000,180618,-0.01671309192200554
2024-06-11,354000,365000,353000,356500,219013,0.009915014164305846
2024-06-12,356500,361000,350500,351500,163853,-0.014025245441795287
2024-06-13,356000,363000,349000,363000,412793,0.03271692745376953
2024-06-14,363000,363000,349000,349000,302758,-0.038567493112947604
2024-06-17,345000,346000,336500,336500,273382,-0.035816618911174825
2024-06-18,340000,343500,331000,331000,213956,-0.01634472511144136
2024-06-19,332500,344500,332000,343000,220974,0.03625377643504524
2024-06-20,343000,346000,340000,340000,105297,-0.008746355685131157
2024-06-21,338000,343000,333000,333000,165513,-0.020588235294117685
2024-06-24,334000,336000,330500,331000,102798,-0.006006006006005982
2024-06-25,334000,336000,331000,331000,124542,0.0
2024-06-26,330500,338000,330000,331000,113087,0.0
