Date,Open,High,Low,Close,Volume,Change
2023-12-22,75800,76300,75400,75900,14515608,0.01200000000000001
2023-12-26,76100,76700,75700,76600,13164909,0.00922266139657446
2023-12-27,76700,78000,76500,78000,20651042,0.018276762402088753
2023-12-28,77700,78500,77500,78500,17797536,0.0064102564102563875
2024-01-02,78200,79800,78200,79600,17142847,0.014012738853503182
2024-01-03,78500,78800,77000,77000,21753644,-0.03266331658291455
2024-01-04,76100,77300,76100,76600,15324439,-0.0051948051948051965
2024-01-05,76700,77100,76400,76600,11304316,0.0
2024-01-08,77000,77500,76400,76500,11088724,-0.0013054830287205776
2024-01-09,77400,77700,74300,74700,26019249,-0.02352941176470591
2024-01-10,75000,75200,73200,73600,20259529,-0.014725568942436373
2024-01-11,72900,73600,72700,73200,57691266,-0.005434782608695676
2024-01-12,73000,74100,72800,73100,13038939,-0.001366120218579181
2024-01-15,73200,74000,73200,73900,13212339,0.010943912448700521
2024-01-16,73500,73700,72500,72600,14760415,-0.017591339648173165
2024-01-17,73100,73300,71000,71000,22683660,-0.02203856749311295
2024-01-18,71600,72000,70700,71700,17853397,0.009859154929577452
2024-01-19,73500,74700,73000,74700,23363427,0.04184100418410042
2024-01-22,75900,76000,75000,75100,19673375,0.0053547523427042165
2024-01-23,75700,75800,74300,75200,14786224,0.0013315579227697327
2024-01-24,75200,75200,73500,74000,12860661,-0.015957446808510634
2024-01-25,74200,74800,73700,74100,11737747,0.0013513513513514486
2024-01-26,73700,74500,73300,73400,11160062,-0.009446693657219951
2024-01-29,73800,75200,73500,74400,13976521,0.013623978201634968
2024-01-30,75000,75300,73700,74300,12244418,-0.0013440860215053752
2024-01-31,73400,74000,72500,72700,15703560,-0.021534320323014833
2024-02-01,73000,74200,72900,73600,19881033,0.012379642365887289
2024-02-02,74000,75200,73700,75200,14955881,0.021739130434782705
2024-02-05,74200,74800,73500,74300,19026021,-0.01196808510638303
2024-02-06,74300,74700,73300,74400,14559254,0.0013458950201883368
2024-02-07,74600,75500,74300,75000,16566445,0.008064516129032251
2024-02-08,75000,75200,73600,74100,20810708,-0.01200000000000001
2024-02-13,74800,75200,74400,75200,21966745,0.014844804318488558
2024-02-14,73700,74300,73700,74000,12434945,-0.015957446808510634
2024-02-15,74200,74400,73000,73000,14120600,-0.013513513513513487
2024-02-16,73300,73400,72500,72800,13444781,-0.002739726027397249
2024-02-19,72800,73900,72800,73800,12726404,0.013736263736263687
2024-02-20,73700,73700,72800,73300,14681477,-0.006775067750677488
2024-02-21,73400,73700,72900,73000,11503495,-0.004092769440654842
2024-02-22,73800,73900,72700,73100,15208934,0.00136986301369868
2024-02-23,73600,74200,72900,72900,16225166,-0.002735978112175075
2024-02-26,72300,73200,72200,72800,14669352,-0.00137174211248281
2024-02-27,73100,73400,72700,72900,13201981,0.0013736263736263687
2024-02-28,72900,73900,72800,73200,11795859,0.004115226337448652
2024-02-29,72600,73400,72000,73400,21176403,0.002732240437158362
2024-03-04,74300,75000,74000,74900,23210474,0.02043596730245234
2024-03-05,74600,74800,73700,73700,19505125,-0.01602136181575431
2024-03-06,73200,73500,72700,72900,21547905,-0.01085481682496603
2024-03-07,73100,73300,72200,72200,14516963,-0.009602194787380003
2024-03-08,72800,73400,72600,73300,19271349,0.015235457063711877
2024-03-11,72900,73100,72300,72400,9740504,-0.012278308321964526
