Date,Open,High,Low,Close,Volume,Change
2024-01-22,34600,34850,33650,34750,418115,0.019061583577712593
2024-01-23,34550,34600,33600,33750,321297,-0.02877697841726623
2024-01-24,33650,34100,33300,33500,205217,-0.007407407407407418
2024-01-25,33350,33350,31900,31900,458210,-0.047761194029850795
2024-01-26,31600,32650,31000,32250,206537,0.01097178683385569
2024-01-29,32250,32350,30150,30350,524635,-0.058914728682170514
2024-01-30,30550,30900,29550,30200,358563,-0.0049423393739703725
2024-01-31,29800,30400,29150,29150,288414,-0.03476821192052981
2024-02-01,29200,30250,29150,30200,311619,0.036020583190394584
2024-02-02,30400,30800,30100,30450,190419,0.008278145695364225
2024-02-05,30450,31050,30000,30150,199632,-0.009852216748768461
2024-02-06,30000,30350,29300,30250,195641,0.0033167495854062867
2024-02-07,30300,30550,29750,30050,189348,-0.006611570247933907
2024-02-08,31800,32000,30350,30500,521238,0.014975041597337757
2024-02-13,30400,31550,30300,31500,298230,0.032786885245901676
2024-02-14,31000,32450,30900,31600,425217,0.0031746031746031633
2024-02-15,31900,31950,31300,31400,214530,-0.006329113924050667
2024-02-16,31600,31650,31000,31250,192025,-0.004777070063694322
2024-02-19,31100,31150,30750,30800,159740,-0.014399999999999968
2024-02-20,30800,31250,30700,30750,139726,-0.0016233766233766378
2024-02-21,30550,30850,30350,30550,166650,-0.006504065040650375
2024-02-22,30550,31300,30550,30700,252804,0.004909983633387904
2024-02-23,31000,31000,29900,30000,290295,-0.0228013029315961
2024-02-26,30000,30450,29750,29950,163377,-0.0016666666666667052
2024-02-27,29950,30400,29250,29500,306990,-0.015025041736227096
2024-02-28,29450,29800,29300,29500,157962,0.0
2024-02-29,29300,29450,28550,28900,287357,-0.02033898305084747
2024-03-04,28950,29750,28950,29700,201118,0.02768166089965396
2024-03-05,30050,30500,29400,29400,302327,-0.010101010101010055
2024-03-06,29150,29750,29000,29700,146747,0.010204081632652962
2024-03-07,29700,29750,28900,28950,208539,-0.025252525252525304
2024-03-08,29000,29300,28600,29100,308254,0.005181347150259086
2024-03-11,29100,29350,28650,28900,198478,-0.0068728522336769515
2024-03-12,28900,29100,28500,29000,182186,0.0034602076124568004
2024-03-13,29550,31200,29500,30850,1043149,0.06379310344827593
2024-03-14,30850,31300,30150,30950,516372,0.0032414910858995505
2024-03-15,31200,31500,30350,30600,388980,-0.011308562197092087
2024-03-18,30650,31200,30450,31000,268224,0.013071895424836555
2024-03-19,31000,31750,30600,30750,439777,-0.008064516129032251
2024-03-20,30850,31000,29950,30050,257296,-0.02276422764227637
2024-03-21,30400,30550,30050,30300,232179,0.008319467554076532
2024-03-22,30450,30900,30250,30550,243382,0.008250825082508184
2024-03-25,30550,30650,29950,30000,165625,-0.018003273322422242
2024-03-26,29700,30000,29300,29500,349674,-0.01666666666666672
2024-03-27,29500,29750,29200,29450,151957,-0.0016949152542372614
2024-03-28,29450,29500,28950,29150,243208,-0.01018675721561968
2024-03-29,29250,29950,29250,29600,229525,0.015437392795883298
2024-04-01,29600,29800,29350,29550,156675,-0.0016891891891891442
2024-04-02,29450,29600,28850,29050,224692,-0.016920473773265665
2024-04-03,28900,29100,28300,28500,233946,-0.018932874354561147
2024-04-04,28800,29350,28800,29050,182674,0.019298245614035148
2024-04-05,28700,29600,28650,28900,161446,-0.005163511187607606
2024-04-08,29200,29250,28350,28500,152810,-0.01384083044982698
2024-04-09,28350,28650,28150,28350,145079,-0.0052631578947368585
2024-04-11,27800,28450,27650,27950,156956,-0.014109347442680775
2024-04-12,28000,28200,27750,27900,125071,-0.0017889087656529634
2024-04-15,27300,27450,26650,27000,216141,-0.032258064516129004
2024-04-16,26350,26700,25950,26350,231913,-0.024074074074074026
2024-04-17,26350,27200,26250,26700,144242,0.013282732447817747
2024-04-18,26500,27500,26500,27500,121010,0.029962546816479474
2024-04-19,27250,27300,26150,27000,148996,-0.018181818181818188
2024-04-22,27000,27400,26800,27250,105872,0.0092592592592593
2024-04-23,27250,27600,26950,27050,99413,-0.007339449541284404
2024-04-24,27200,27850,27150,27800,132799,0.02772643253234741
2024-04-25,27650,28150,27450,27600,100394,-0.007194244604316502
2024-04-26,27600,27900,27450,27750,88660,0.005434782608695565
2024-04-29,27700,28300,27700,28150,101756,0.01441441441441449
2024-04-30,28150,28400,27900,28200,114030,0.001776198934280604
2024-05-02,28200,28200,27850,28150,71692,-0.0017730496453900457
2024-05-03,28200,28400,28050,28250,99222,0.003552397868561208
2024-05-07,28650,28700,28200,28400,116362,0.005309734513274433
2024-05-08,28450,28700,28300,28650,108843,0.008802816901408494
2024-05-09,28750,28750,28300,28500,117739,-0.005235602094240788
2024-05-10,29150,29450,28350,28550,300855,0.0017543859649122862
2024-05-13,28550,28950,27850,28100,158441,-0.015761821366024553
2024-05-14,27900,28250,27800,28100,108095,0.0
2024-05-16,28250,28350,28050,28150,94740,0.001779359430605032
2024-05-17,28350,28350,27750,27950,94099,-0.007104795737122527
2024-05-20,27900,28100,27600,28050,128209,0.003577817531305927
2024-05-21,28000,28050,27450,27600,109025,-0.016042780748663055
2024-05-22,27550,28100,27350,27600,134546,0.0
2024-05-23,27600,27600,26950,27250,108888,-0.0126811594202898
2024-05-24,27050,27100,26600,26650,127220,-0.022018348623853212
2024-05-27,26700,26750,26000,26700,188545,0.0018761726078799779
2024-05-28,26700,27300,26550,27000,160163,0.011235955056179803
2024-05-29,27100,27100,26100,26350,176667,-0.024074074074074026
2024-05-30,26250,26300,25500,25500,164752,-0.032258064516129004
2024-05-31,25350,25750,25150,25750,140812,0.009803921568627416
2024-06-03,25550,26000,25550,25900,80406,0.005825242718446644
2024-06-04,25750,26350,25500,25750,117599,-0.00579150579150578
2024-06-05,25800,25950,25400,25800,182207,0.001941747572815622
2024-06-07,25900,26650,25650,26650,226511,0.032945736434108586
2024-06-10,26450,26550,25700,26000,142831,-0.024390243902439046
2024-06-11,25800,26750,25800,26650,203637,0.02499999999999991
2024-06-12,26650,27300,26450,26700,182385,0.0018761726078799779
2024-06-13,26650,26800,26150,26150,167379,-0.02059925093632964
2024-06-14,26450,26450,25650,26150,140486,0.0
2024-06-17,26350,26450,25900,26100,99596,-0.0019120458891013214
2024-06-18,26000,26200,25700,25700,82142,-0.01532567049808431
2024-06-19,25700,25700,25300,25700,110364,0.0
2024-06-20,25600,25850,25450,25700,74876,0.0
2024-06-21,25500,25600,24800,25100,150199,-0.023346303501945553
2024-06-24,24950,24950,24300,24350,152487,-0.029880478087649376
2024-06-25,24100,24550,24100,24500,84973,0.006160164271047153
2024-06-26,24500,24750,24400,24500,61392,0.0
2024-06-27,24400,24600,24150,24550,79532,0.0020408163265306367
2024-06-28,24500,24900,24300,24900,83350,0.014256619144602745
2024-07-01,25050,25150,24700,25050,82976,0.006024096385542244
2024-07-02,24900,25100,24500,24500,83678,-0.021956087824351322
2024-07-03,24400,24550,23300,23300,188598,-0.048979591836734726
2024-07-04,23100,23600,23050,23250,124758,-0.0021459227467811592
