Date,Open,High,Low,Close,Volume,Change
2024-01-22,2500,2550,2495,2550,130116637,-0.00195694716242667
2024-01-23,2525,2560,2510,2525,119727527,-0.009803921568627416
2024-01-24,2525,2585,2525,2545,120177859,0.007920792079207928
2024-01-25,2545,2570,2530,2540,84596458,-0.0019646365422396617
2024-01-26,2575,2590,2480,2535,129682770,-0.0019685039370078705
2024-01-29,2520,2530,2440,2475,138050023,-0.023668639053254448
2024-01-30,2445,2500,2430,2485,102635940,0.004040404040404066
2024-01-31,2525,2535,2495,2515,93327100,0.012072434607645954
2024-02-01,2530,2530,2420,2430,155020800,-0.03379721669980118
2024-02-02,2395,2400,2260,2270,200587628,-0.06584362139917699
2024-02-05,2290,2385,2280,2330,182777345,0.026431718061673992
2024-02-06,2350,2375,2305,2345,129914942,0.006437768240343367
2024-02-07,2315,2325,2240,2280,157085141,-0.02771855010660984
2024-02-08,2260,2285,2240,2275,115904090,-0.002192982456140302
2024-02-13,2225,2230,2195,2225,116164198,-0.02197802197802201
2024-02-14,2295,2305,2265,2280,136688390,0.024719101123595433
2024-02-15,2235,2295,2230,2285,85863194,0.002192982456140413
2024-02-16,2255,2280,2235,2240,92164134,-0.01969365426695846
2024-02-19,2230,2230,2165,2175,152582667,-0.029017857142857095
2024-02-20,2185,2250,2180,2225,120975211,0.02298850574712641
2024-02-21,2225,2255,2195,2235,136904369,0.004494382022471877
2024-02-22,2185,2235,2185,2210,116678774,-0.01118568232662187
2024-02-23,2175,2210,2145,2200,164868397,-0.004524886877828038
2024-02-26,2225,2275,2215,2235,157021680,0.015909090909090873
2024-02-27,2240,2285,2225,2280,152815042,0.020134228187919545
2024-02-28,2260,2275,2205,2215,172642444,-0.028508771929824595
2024-02-29,2240,2265,2220,2235,116482538,0.009029345372460584
2024-03-04,2180,2200,2145,2165,150936931,-0.031319910514541416
2024-03-05,2190,2210,2145,2210,134798327,0.020785219399538146
2024-03-06,2225,2245,2210,2220,111620978,0.004524886877828038
2024-03-07,2205,2245,2190,2220,124874151,0.0
2024-03-08,2165,2175,2140,2155,156885477,-0.029279279279279313
2024-03-11,2185,2200,2165,2190,110806208,0.016241299303944245
2024-03-12,2175,2205,2150,2160,104352842,-0.013698630136986356
2024-03-13,2140,2165,2120,2145,115707983,-0.00694444444444442
2024-03-14,2135,2135,2095,2105,137819845,-0.018648018648018683
2024-03-15,2130,2180,2125,2180,133130085,0.03562945368171011
2024-03-18,2170,2195,2150,2155,99808013,-0.011467889908256867
2024-03-19,2185,2235,2185,2210,128030341,0.025522041763341052
2024-03-20,2175,2180,2125,2130,158474218,-0.03619909502262442
2024-03-21,2055,2065,2005,2015,231278271,-0.0539906103286385
2024-03-22,2015,2040,1992,2020,183650002,0.002481389578163684
2024-03-25,2005,2050,1993,2040,150678433,0.00990099009900991
2024-03-26,2005,2010,1958,2000,321853247,-0.019607843137254943
2024-03-27,2020,2030,1988,1999,124486166,-0.0004999999999999449
2024-03-28,2005,2015,1982,2000,119744159,0.0005002501250626068
2024-03-29,1985,2010,1973,1988,132375283,-0.006000000000000005
2024-04-01,1949,1988,1948,1987,117836311,-0.0005030181086519425
2024-04-02,1994,2000,1958,1975,188005450,-0.006039255158530432
2024-04-03,2000,2040,2000,2035,144316521,0.030379746835442978
2024-04-04,1989,2000,1974,1978,150971274,-0.028009828009827986
2024-04-05,2020,2040,1995,2020,138158650,0.02123356926188058
2024-04-08,2015,2025,1997,2005,99655162,-0.007425742574257432
