Date,Open,High,Low,Close,Volume,Adj Close
2024-03-19,280.25,284.25,273.5,274.25,5878152,236.99537658691406
2024-03-20,268.25,271.25,260.0,260.75,6683928,228.7490234375
2024-03-21,252.25,257.75,251.25,257.5,5581220,225.8978729248047
2024-03-22,258.5,260.0,254.75,257.0,4094560,225.45924377441406
2024-03-25,261.75,263.5,257.0,259.75,3383136,227.87171936035156
2024-03-26,257.25,262.75,255.5,262.0,3532452,229.84561157226562
2024-03-27,257.5,265.5,257.0,260.0,4122496,228.09104919433594
2024-03-28,260.25,262.5,259.0,262.0,3004408,229.84561157226562
2024-04-01,260.5,263.75,255.75,260.25,4319456,228.3103790283203
2024-04-02,269.25,272.5,266.5,267.0,4541312,234.23196411132812
2024-04-03,271.25,271.25,262.0,265.5,4511304,232.9160614013672
2024-04-04,258.25,278.5,257.0,278.0,6195008,243.8820037841797
2024-04-05,275.5,277.25,263.25,268.5,7645468,235.54786682128906
2024-04-08,266.75,271.0,264.75,268.5,3626504,235.54786682128906
2024-04-09,264.25,274.25,263.5,265.25,5191524,232.69671630859375
2024-04-10,275.25,276.25,271.0,272.5,7154020,239.05697631835938
2024-04-11,269.5,273.75,258.25,260.0,6407184,228.09104919433594
2024-04-12,267.5,275.0,265.5,272.25,7043116,238.83766174316406
2024-04-15,265.5,287.75,265.25,286.0,8041672,250.900146484375
2024-04-16,286.75,289.0,280.75,286.0,7289840,250.900146484375
2024-04-17,282.25,298.75,282.25,296.5,6754464,260.111572265625
2024-04-18,296.0,303.5,292.25,301.75,6906236,264.71722412109375
2024-04-19,305.0,324.75,304.0,321.0,8796476,281.604736328125
2024-04-22,315.25,323.25,306.25,311.75,6286748,273.48992919921875
2024-04-23,307.5,308.5,295.25,297.75,5566380,261.2081604003906
2024-04-24,291.75,300.0,288.25,295.25,5929000,259.01495361328125
2024-04-25,310.75,313.0,298.0,300.0,6699312,263.1820068359375
2024-04-26,293.25,294.75,282.75,285.75,5491560,250.68084716796875
2024-04-29,282.0,288.25,280.75,282.75,3907340,248.04901123046875
2024-04-30,286.25,299.0,283.25,298.75,5173264,262.08538818359375
2024-05-01,302.0,307.5,287.25,305.5,8435264,268.0069885253906
2024-05-02,297.75,308.0,292.25,294.5,5650068,258.3569641113281
2024-05-03,279.0,282.25,274.75,277.0,6184152,243.0046844482422
2024-05-06,273.5,275.0,267.5,267.5,3788384,234.67059326171875
2024-05-07,267.25,269.25,264.75,268.0,4122372,235.10923767089844
2024-05-08,272.75,273.0,265.75,268.5,4028448,235.54786682128906
2024-05-09,268.5,271.75,266.0,267.0,3888184,234.23196411132812
2024-05-10,264.5,268.25,261.25,265.25,3994584,232.69671630859375
2024-05-13,262.0,266.25,261.75,263.75,2760444,231.38082885742188
2024-05-14,264.5,265.0,257.75,258.5,5089216,226.775146484375
2024-05-15,254.5,257.25,246.25,246.75,6223648,216.46717834472656
2024-05-16,247.5,249.0,244.25,248.5,4111464,218.00241088867188
2024-05-17,248.75,253.0,247.5,249.25,3520760,218.6603546142578
2024-05-20,249.0,249.25,243.0,244.0,3815760,214.05467224121094
2024-05-21,247.25,247.75,242.5,242.75,2383348,212.95809936523438
2024-05-22,242.5,247.25,241.25,243.25,3533856,213.396728515625
2024-05-23,236.0,249.75,235.75,247.0,6326832,216.68649291992188
2024-05-24,244.5,245.75,238.0,240.0,4488848,210.5455780029297
2024-05-28,238.25,242.25,237.25,237.25,3868600,208.13307189941406
2024-05-29,244.25,244.25,239.75,242.25,4166120,212.51943969726562
2024-05-30,244.0,252.75,244.0,250.5,4520708,219.75692749023438
2024-05-31,250.5,265.25,249.25,250.5,6475404,219.75692749023438
2024-06-03,246.0,257.25,244.5,248.25,5362144,217.78311157226562
2024-06-04,249.0,252.0,244.5,246.5,5024584,216.24786376953125
