Date,Open,High,Low,Close,Volume,Change
2023-12-22,11580,11640,11490,11490,129181,-0.0051948051948051965
2023-12-26,11490,11490,11350,11380,154114,-0.009573542210617902
2023-12-27,11280,11530,11280,11530,108486,0.013181019332161759
2023-12-28,11500,11680,11500,11640,218663,0.0095403295750216
2024-01-02,11640,11660,11550,11580,163289,-0.005154639175257714
2024-01-03,11500,11550,11340,11390,206059,-0.016407599309153698
2024-01-04,11380,11760,11340,11590,358447,0.017559262510974616
2024-01-05,11600,11640,11490,11540,112470,-0.004314063848144922
2024-01-08,11530,11600,11430,11480,160137,-0.005199306759098743
2024-01-09,11490,11650,11460,11470,104311,-0.0008710801393728707
2024-01-10,11470,11490,11340,11370,121031,-0.008718395815169977
2024-01-11,11420,11430,11240,11260,196354,-0.009674582233949014
2024-01-12,11220,11310,11040,11100,279409,-0.014209591474245165
2024-01-15,11020,11250,11020,11230,256914,0.011711711711711814
2024-01-16,11270,11270,10650,10700,616405,-0.04719501335707921
2024-01-17,10720,10810,10620,10620,184967,-0.00747663551401867
2024-01-18,10630,10810,10580,10600,150307,-0.0018832391713747842
2024-01-19,10690,10860,10660,10840,99712,0.02264150943396226
2024-01-22,10950,10950,10690,10720,160350,-0.011070110701106972
2024-01-23,10780,10810,10620,10630,152154,-0.00839552238805974
2024-01-24,10650,10720,10500,10650,149518,0.0018814675446847673
2024-01-25,10750,10750,10650,10660,114477,0.0009389671361501595
2024-01-26,10700,11030,10660,10900,207589,0.022514071294559068
2024-01-29,11020,11080,10900,10960,152280,0.005504587155963359
2024-01-30,11030,11030,10690,10740,142015,-0.02007299270072993
2024-01-31,10780,10960,10690,10690,145180,-0.004655493482309092
2024-02-01,10610,10690,10490,10540,400568,-0.014031805425631427
2024-02-02,10590,10730,10540,10700,204516,0.015180265654648917
2024-02-05,10700,10730,10580,10660,151594,-0.0037383177570093906
2024-02-06,10670,10720,10550,10600,188076,-0.0056285178236398226
2024-02-07,10600,10750,10600,10660,113461,0.005660377358490676
2024-02-08,10720,10720,10630,10650,128067,-0.0009380863039399889
2024-02-13,10660,10740,10620,10710,123555,0.005633802816901401
2024-02-14,10580,10680,10580,10630,130133,-0.007469654528478031
2024-02-15,10680,10840,10630,10760,199430,0.012229539040451654
2024-02-16,10810,10830,10750,10830,120912,0.006505576208178487
2024-02-19,10810,10890,10580,10680,239500,-0.013850415512465353
2024-02-20,10590,10700,10520,10560,262655,-0.011235955056179803
2024-02-21,10550,10630,10510,10560,180577,0.0
2024-02-22,10630,10630,10550,10610,93990,0.004734848484848397
2024-02-23,10640,10680,10570,10570,151631,-0.0037700282752121117
2024-02-26,10580,10590,10450,10500,169710,-0.0066225165562914245
2024-02-27,10510,10520,10330,10350,260538,-0.014285714285714235
2024-02-28,10370,10510,10350,10490,286033,0.01352657004830915
2024-02-29,10470,10480,10340,10340,292250,-0.014299332697807476
2024-03-04,10400,10470,10310,10400,157375,0.005802707930367523
2024-03-05,10400,10450,10310,10340,134378,-0.005769230769230749
2024-03-06,10340,10370,10210,10240,151770,-0.009671179883945835
2024-03-07,10250,10280,10100,10110,238712,-0.0126953125
2024-03-08,10120,10190,9870,9940,485541,-0.016815034619188873
2024-03-11,9920,10300,9900,10110,307446,0.017102615694164935
2024-03-12,10120,10200,10000,10030,150232,-0.007912957467853587
2024-03-13,10150,10300,10080,10290,230727,0.025922233300099684
2024-03-14,10310,10900,10290,10880,973434,0.05733722060252666
2024-03-15,10950,11030,10550,10600,621847,-0.02573529411764708
2024-03-18,10760,10950,10620,10800,302521,0.018867924528301883
2024-03-19,10860,10930,10670,10710,254974,-0.008333333333333304
2024-03-20,10720,10910,10690,10820,269117,0.010270774976657293
2024-03-21,10710,10850,10690,10750,211306,-0.006469500924214389
2024-03-22,10710,10720,10560,10630,263172,-0.011162790697674452
2024-03-25,10650,10670,10340,10360,298899,-0.02539981185324558
2024-03-26,10450,10580,10400,10580,222778,0.021235521235521304
2024-03-27,10600,10820,10600,10730,318000,0.01417769376181477
2024-03-28,10740,10900,10660,10750,318470,0.0018639328984155767
2024-03-29,10810,10850,10690,10730,156680,-0.0018604651162790198
2024-04-01,10780,10810,10590,10800,207697,0.006523765144454741
2024-04-02,10750,10870,10690,10770,200265,-0.002777777777777768
2024-04-03,10770,11060,10630,10920,332037,0.013927576601671321
2024-04-04,11000,11010,10770,10960,215192,0.00366300366300365
2024-04-05,10900,11010,10810,10860,161188,-0.009124087591240837
